Location;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;prelim 2023;change;change.1;Growth PA
ABBOTSFORD;714000;792500;862500;925000;1187500;1280000;1192500;1050000;1200000;1365000;1341500;1409000.0;-2.0;88.0;6.5
ABERFELDIE;852500;947500;1045000;1207500;1300000;1471000;1498500;1390000;1520000;1858000;1860000;N/A;0.0;118.0;8.1
AINTREE;N/A;N/A;N/A;600000;600000;571000;557500;575000;630000;719000;760000;710000.0;6.0;N/A;N/A
AIREYS INLET;634000;664000;625500;680000;715000;737500;869000;985000;1132500;1775000;1725000;1570000.0;-3.0;172.0;10.5
AIRPORT WEST;495000;532000;575000;635000;742000;845000;845000;795000;812500;965000;926500;795000.0;-4.0;87.0;6.5
ALBANVALE;310000;313000;328000;345000;439000;526500;546000;512000;545000;610000;600000;610000.0;-2.0;94.0;6.8
ALBERT PARK;1270000;1360000;1503000;1700000;1775000;2150000;2070000;1990000;1895000;2355000;2475000;2097000.0;5.0;95.0;6.9
ALBION;379500;379000;432000;481000;593000;730000;755000;675000;727500;832500;830000;670000.0;0.0;119.0;8.1
ALEXANDRA;239000;261000;247500;285000;275000;291500;335000;325000;380000;440000;550000;420000.0;25.0;130.0;8.7
ALFREDTON;340000;361500;362000;340500;375000;412500;439000;480000;512000;605000;650000;630000.0;7.0;91.0;6.7
ALLANSFORD;257500;310000;242500;259000;275000;280000;245000;300000;371000;445000;573500;600000.0;29.0;123.0;8.3
ALPHINGTON;1000000;1080000;1029000;1296500;1272500;1560000;1612500;1455000;1865000;2280000;2195000;2185000.0;-4.0;120.0;8.2
ALTON/A;570000;572500;646500;718000;829000;950000;932500;890000;914000;1160000;1175000;1175000.0;1.0;106.0;7.5
ALTON/A EAST;550000;561000;603000;650000;795000;885000;902000;855000;870000;980000;1080000;867500.0;10.0;96.0;7.0
ALTON/A MEADOWS;375000;390000;413000;440000;495000;625000;631500;615000;640000;720000;740000;661500.0;3.0;97.0;7.0
ALTON/A NORTH;484000;510000;555000;645000;726000;828000;830000;790000;832500;960000;957500;880000.0;0.0;98.0;7.1
ANGLESEA;587500;550000;612500;635000;652500;788000;870000;915000;1100000;1440000;1717500;1456500.0;19.0;192.0;11.3
APOLLO BAY;432500;450000;457500;435000;480000;545000;555000;600000;710000;929000;1000000;1000000.0;8.0;131.0;8.7
ARARAT;165000;180000;200000;210000;204500;199000;199000;215000;244000;313000;381000;302500.0;22.0;131.0;8.7
ARDEER;342500;330000;360000;381500;517500;595000;629000;572000;615000;719000;682000;592500.0;-5.0;99.0;7.1
ARMADALE;1500000;1675000;1750000;2172500;2364000;2300000;2341500;2490000;2625000;2700000;2714500;2080000.0;1.0;81.0;6.1
ARMSTRONG CREEK;362500;467500;441500;440000;450000;471000;535000;529500;545500;660000;720000;675000.0;9.0;99.0;7.1
