Year;Rank;School;Location;Median_VCE_Score
2012;1;Academy of Mary Immaculate;Fitzroy;31
2012;2;Adass Israel School Elsternwick;Elsternwick;0
2012;3;Aitken College;Greenvale;30
2012;4;Al-Taqwa College Islamic Schools of Vic;Truganina;26
2012;5;Albury Wodonga Community College;Wodonga;0
2012;6;Alexandra Secondary College;Alexandra;29
2012;7;Alia College;Hawthorn East;30
2012;8;Alphington Grammar School;Alphington;30
2012;9;Ambitions Performance Dancers;Frankston;N/A
2012;10;Antonine College Senior Campus;Pascoe Vale South;29
2012;11;Apollo Bay P-12 College;Apollo Bay;28
2012;12;Aquinas College;Ringwood;31
2012;13;Ararat College;Ararat;26
2012;14;Ashwood High School;Ashwood;28
2012;15;Assumption College;Kilmore;30
2012;16;Auditions School of Dance;Frankston;N/A
2012;17;Australian International Academy Coburg;North Coburg;27
2012;18;Austurk Saturday Turkish School;Gladstone Park;N/A
2012;19;Ave Maria College;Aberfeldie;31
2012;20;Avila College;Mount Waverley;32
2012;21;Bacchus Marsh College;Bacchus Marsh;25
2012;22;Bacchus Marsh Community College;Bacchus Marsh;0
2012;23;Bacchus Marsh Grammar;Bacchus Marsh;31
2012;24;Baimbridge College;Hamilton;28
2012;25;Bairnsdale Secondary College;Bairnsdale;26
2012;26;Balcombe Grammar School;Mount Martha;29
2012;27;Ballarat Christian College;Sebastopol;30
2012;28;Ballarat Clarendon College;Ballarat;37
2012;29;Ballarat Grammar School;Wendouree;33
2012;30;Ballarat High School;Ballarat;27
2012;31;Balmoral Community College;Balmoral;27
2012;32;Balwyn High School;Balwyn North;34
2012;33;Bayside Christian College;Langwarrin South;30
2012;34;Bayside College Paisley Campus;Newport;27
2012;35;Bayswater Secondary College;Bayswater;23
2012;36;Bayview College;Portland;30
2012;37;Beaconhills College Berwick;Berwick;31
2012;38;Beaconhills College Pakenham;Pakenham;30
2012;39;Beaufort Secondary College;Beaufort;27
2012;40;Beechworth Secondary College;Beechworth;29
2012;41;Belgrave Heights Christian School;Belgrave Heights;26
2012;42;Bellarine Secondary College;Drysdale;28
2012;43;Belmont High School;Belmont;29
2012;44;Benalla P-12 College;Benalla;28
