Year;Rank;School;Location;VCE_Studies;VCE_Stsnts;VCE_Compl_%;Median_VCE_Score;VCE_40+_%;VCEs_40+;VCEs_48+;VCEs_50;Stdnts_40+;Stdnts_48+;Stdnts_50
2012;1;Academy of Mary Immaculate;Fitzroy;38;143;100;31;7,3;40;1;0;27;1;0
2012;2;Adass Israel School Elsternwick;Elsternwick;6;0;0;0;0;0;0;0;0;0;0
2012;3;Aitken College;Greenvale;40;155;99;30;5,5;34;1;1;25;1;1
2012;4;Al-Taqwa College Islamic Schools of Vic;Truganina;22;112;100;26;4;8;0;0;8;0;0
2012;5;Albury Wodonga Community College;Wodonga;3;0;0;0;0;0;0;0;0;0;0
2012;6;Alexandra Secondary College;Alexandra;24;62;97;29;4,5;2;0;0;2;0;0
2012;7;Alia College;Hawthorn East;22;16;92;30;10,2;6;1;0;4;1;0
2012;8;Alphington Grammar School;Alphington;26;90;100;30;9,6;27;0;0;20;0;0
2012;9;Ambitions Performance Dancers;Frankston;;;;;;2;0;0;2;0;0
2012;10;Antonine College Senior Campus;Pascoe Vale South;21;76;98;29;2;5;0;0;3;0;0
2012;;;;;;;;;;;;;;
2012;11;Apollo Bay P-12 College;Apollo Bay;23;23;100;28;3,8;3;0;0;3;0;0
2012;12;Aquinas College;Ringwood;49;297;100;31;6,4;67;2;2;47;2;2
2012;13;Ararat College;Ararat;23;51;100;26;0;0;0;0;0;0;0
2012;14;Ashwood High School;Ashwood;39;83;98;28;5,2;13;1;1;9;1;1
2012;15;Assumption College;Kilmore;72;255;99;30;5,2;41;2;1;26;2;1
2012;16;Auditions School of Dance;Frankston;;;;;;1;0;0;1;0;0
2012;17;Australian International Academy Coburg;North Coburg;18;78;100;27;0,8;2;0;0;2;0;0
2012;18;Austurk Saturday Turkish School;Gladstone Park;;;;;;2;0;0;2;0;0
2012;19;Ave Maria College;Aberfeldie;31;206;100;31;10;63;3;0;38;3;0
2012;20;Avila College;Mount Waverley;46;244;100;32;10,9;91;2;0;64;2;0
2012;21;Bacchus Marsh College;Bacchus Marsh;37;104;96;25;0,9;2;0;0;1;0;0
2012;22;Bacchus Marsh Community College;Bacchus Marsh;4;0;0;0;0;0;0;0;0;0;0
2012;23;Bacchus Marsh Grammar;Bacchus Marsh;38;162;98;31;8,7;39;2;0;29;2;0
2012;24;Baimbridge College;Hamilton;37;88;88;28;0,8;1;1;1;1;1;1
2012;25;Bairnsdale Secondary College;Bairnsdale;55;159;93;26;1,3;1;0;0;1;0;0
2012;26;Balcombe Grammar School;Mount Martha;26;40;100;29;5,7;8;1;1;7;1;1
2012;27;Ballarat Christian College;Sebastopol;16;24;93;30;1,7;1;0;0;1;0;0
2012;28;Ballarat Clarendon College;Ballarat;38;228;99;37;31;235;21;9;132;17;9
2012;29;Ballarat Grammar School;Wendouree;44;306;100;33;11,5;101;6;0;63;6;0
2012;30;Ballarat High School;Ballarat;53;295;95;27;3,1;25;0;0;20;0;0
2012;31;Balmoral Community College;Balmoral;16;13;100;27;4,3;1;0;0;1;0;0
2012;32;Balwyn High School;Balwyn North;52;607;100;34;19,2;307;25;13;177;23;13
2012;33;Bayside Christian College;Langwarrin South;31;51;96;30;6;7;0;0;4;0;0
2012;34;Bayside College Paisley Campus;Newport;63;178;98;27;3,3;7;0;0;3;0;0
2012;35;Bayswater Secondary College;Bayswater;24;37;100;23;0,8;1;0;0;1;0;0
2012;36;Bayview College;Portland;25;46;100;30;0,8;1;0;0;1;0;0
2012;37;Beaconhills College Berwick;Berwick;44;267;99;31;7;57;3;2;42;3;2
2012;38;Beaconhills College Pakenham;Pakenham;39;221;100;30;5,4;8;0;0;7;0;0
2012;39;Beaufort Secondary College;Beaufort;20;34;91;27;1,7;1;0;0;1;0;0
2012;40;Beechworth Secondary College;Beechworth;31;74;96;29;4,4;10;0;0;7;0;0
2012;41;Belgrave Heights Christian School;Belgrave Heights;15;48;100;26;4,9;7;0;0;4;0;0
2012;42;Bellarine Secondary College;Drysdale;49;172;98;28;3,9;21;3;2;14;3;2
2012;43;Belmont High School;Belmont;61;280;99;29;3,4;26;1;1;22;1;1
2012;44;Benalla P-12 College;Benalla;37;118;97;28;6,6;25;1;0;15;1;0
2012;45;Bendigo Regional Institute of TAFE;Bendigo;7;8;80;17;0;0;0;0;0;0;0
2012;46;Bendigo Senior Secondary College;Bendigo;78;1051;94;29;3,8;89;9;1;68;9;1
2012;47;Bentleigh Secondary College;Bentleigh East;36;184;100;27;3,8;22;0;0;15;0;0
2012;48;Berwick Secondary College;Berwick;54;323;97;30;5,2;35;2;0;27;2;0
2012;49;Best Community Development Centre;Ballarat;0;0;0;0;0;0;0;0;0;0;0
2012;50;Beth Rivkah Ladies College;St Kilda East;20;71;100;36;24,5;28;2;1;18;2;1
2012;201;Goulburn Ovens Institute of TAFE;Shepparton;10;4;50;0;0;0;0;0;0;0;0
2012;202;Goulburn Valley Grammar School;Shepparton;27;154;100;34;20,6;102;7;3;55;5;2
2012;203;Greek Orthodox GMM of St Nickolaos Parish;Yarraville;;;;;;2;0;0;2;0;0
2012;204;Greek Orthodox Parish School Panagia Soumela;Keilor East;;;;;;1;0;0;1;0;0
2012;205;Greensborough Secondary College;Greensborough;34;176;96;27;1,7;8;0;0;6;0;0
2012;206;Grovedale College;Grovedale;36;120;97;27;3,3;13;1;1;10;1;1
2012;207;Haileybury Chengdu Shude High School;Chengdu, China;;;;;;27;1;0;14;1;0
2012;208;Haileybury College;Keysborough;47;436;100;34;17,6;191;16;6;128;15;6
2012;209;Haileybury Girls College;Keysborough;53;274;100;35;27,4;212;22;11;131;21;10
2012;210;Haileybury Jiangyan No 2 High School;Jiangyan, China;;;;;;36;3;1;22;3;1
2012;211;Haileybury Li Hui High School;China;;;;;;42;1;0;33;1;0
2012;212;Haileybury Qingdao No 19 High School;Qingdao, China;;;;;;3;0;0;2;0;0
2012;213;Haileybury Wuhan Foreign Language School;Wuhan, China;;;;;;8;0;0;5;0;0
2012;214;Hallam Secondary College;Hallam;58;365;88;24;1,1;6;0;0;6;0;0
2012;215;Hampton Park Secondary College;Hampton Park;50;210;90;25;1,5;6;0;0;5;0;0
2012;216;Hawkesdale College;Hawkesdale;21;16;100;29;3,5;2;0;0;2;0;0
2012;217;Hawthorn Secondary College;Hawthorn East;43;110;95;28;5,4;7;0;0;4;0;0
2012;218;Healesville High School;Healesville;20;53;85;28;4,1;6;0;0;5;0;0
2012;219;Heathdale Christian College;Werribee;54;115;100;31;12,5;45;2;2;27;2;2
2012;220;Heatherton Christian College;Clarinda;15;23;100;30;5,1;4;0;0;2;0;0
2012;221;Heathmont College;Heathmont;32;135;98;25;0,5;2;1;1;2;1;1
2012;222;Heritage College Narre Warren South;Narre Warren South;21;18;100;27;0;0;0;0;0;0;0
